date,year,time_window,sector,energy_type,value_trillion_btu
1978-12-01,1978,1973-1989,transportation,biomass,0
1978-12-01,1978,1973-1989,commercial,biomass,1.005
1979-01-01,1979,1973-1989,transportation,biomass,0
1979-01-01,1979,1973-1989,residential,biomass,61.837
1979-01-01,1979,1973-1989,industrial,biomass,119.317
1979-01-01,1979,1973-1989,commercial,biomass,1.173
1979-01-01,1979,1973-1989,electric power,biomass,0.273
1979-02-01,1979,1973-1989,commercial,biomass,1.06
1979-02-01,1979,1973-1989,electric power,biomass,0.414
1979-02-01,1979,1973-1989,transportation,biomass,0
1979-02-01,1979,1973-1989,industrial,biomass,107.77
1979-02-01,1979,1973-1989,residential,biomass,55.852
1979-03-01,1979,1973-1989,transportation,biomass,0
1979-03-01,1979,1973-1989,residential,biomass,61.837
1979-03-01,1979,1973-1989,electric power,biomass,0.554
1979-03-01,1979,1973-1989,commercial,biomass,1.173
1979-03-01,1979,1973-1989,industrial,biomass,119.317
1979-04-01,1979,1973-1989,industrial,biomass,115.468
1979-04-01,1979,1973-1989,transportation,biomass,0
1979-04-01,1979,1973-1989,electric power,biomass,0.399
1979-04-01,1979,1973-1989,commercial,biomass,1.135
1979-04-01,1979,1973-1989,residential,biomass,59.842
1979-05-01,1979,1973-1989,transportation,biomass,0
1979-05-01,1979,1973-1989,electric power,biomass,0.455
1979-05-01,1979,1973-1989,industrial,biomass,119.317
1979-05-01,1979,1973-1989,commercial,biomass,1.173
1979-05-01,1979,1973-1989,residential,biomass,61.837
1979-06-01,1979,1973-1989,industrial,biomass,115.468
1979-06-01,1979,1973-1989,residential,biomass,59.842
1979-06-01,1979,1973-1989,electric power,biomass,0.387
1979-06-01,1979,1973-1989,transportation,biomass,0
1979-06-01,1979,1973-1989,commercial,biomass,1.135
1979-07-01,1979,1973-1989,transportation,biomass,0
1979-07-01,1979,1973-1989,residential,biomass,61.837
1979-07-01,1979,1973-1989,electric power,biomass,0.374
1979-07-01,1979,1973-1989,industrial,biomass,119.317
1979-07-01,1979,1973-1989,commercial,biomass,1.173
1979-08-01,1979,1973-1989,electric power,biomass,0.481
1979-08-01,1979,1973-1989,commercial,biomass,1.173
1979-08-01,1979,1973-1989,transportation,biomass,0
1979-08-01,1979,1973-1989,residential,biomass,61.837
1979-08-01,1979,1973-1989,industrial,biomass,119.317
1979-09-01,1979,1973-1989,residential,biomass,59.842
1979-09-01,1979,1973-1989,commercial,biomass,1.135
1979-09-01,1979,1973-1989,industrial,biomass,115.468
1979-09-01,1979,1973-1989,transportation,biomass,0
1979-09-01,1979,1973-1989,electric power,biomass,0.446
1979-10-01,1979,1973-1989,industrial,biomass,119.317
1979-10-01,1979,1973-1989,commercial,biomass,1.173
1979-10-01,1979,1973-1989,residential,biomass,61.837
1979-10-01,1979,1973-1989,electric power,biomass,0.424
1979-10-01,1979,1973-1989,transportation,biomass,0
1979-11-01,1979,1973-1989,electric power,biomass,0.504
1979-11-01,1979,1973-1989,industrial,biomass,115.468
1979-11-01,1979,1973-1989,residential,biomass,59.842
1979-11-01,1979,1973-1989,transportation,biomass,0
1979-11-01,1979,1973-1989,commercial,biomass,1.135
1979-12-01,1979,1973-1989,residential,biomass,61.837
1979-12-01,1979,1973-1989,commercial,biomass,1.173
1979-12-01,1979,1973-1989,electric power,biomass,0.443
1979-12-01,1979,1973-1989,transportation,biomass,0
1979-12-01,1979,1973-1989,industrial,biomass,119.317
1980-01-01,1980,1973-1989,transportation,biomass,0
1980-01-01,1980,1973-1989,residential,biomass,71.995
1980-01-01,1980,1973-1989,electric power,biomass,0.537
1980-01-01,1980,1973-1989,commercial,biomass,1.779
1980-01-01,1980,1973-1989,industrial,biomass,135.519
1980-02-01,1980,1973-1989,residential,biomass,67.35
1980-02-01,1980,1973-1989,commercial,biomass,1.664
1980-02-01,1980,1973-1989,electric power,biomass,0.52
1980-02-01,1980,1973-1989,transportation,biomass,0
1980-02-01,1980,1973-1989,industrial,biomass,126.776
1980-03-01,1980,1973-1989,residential,biomass,71.995
1980-03-01,1980,1973-1989,transportation,biomass,0
1980-03-01,1980,1973-1989,electric power,biomass,0.434
1980-03-01,1980,1973-1989,industrial,biomass,135.519
1980-03-01,1980,1973-1989,commercial,biomass,1.779
1980-04-01,1980,1973-1989,electric power,biomass,0.354
1980-04-01,1980,1973-1989,transportation,biomass,0
1980-04-01,1980,1973-1989,commercial,biomass,1.721
1980-04-01,1980,1973-1989,residential,biomass,69.672
1980-04-01,1980,1973-1989,industrial,biomass,131.148
1980-05-01,1980,1973-1989,residential,biomass,71.995
1980-05-01,1980,1973-1989,industrial,biomass,135.519
1980-05-01,1980,1973-1989,electric power,biomass,0.256
1980-05-01,1980,1973-1989,transportation,biomass,0
1980-05-01,1980,1973-1989,commercial,biomass,1.779
1980-06-01,1980,1973-1989,transportation,biomass,0
1980-06-01,1980,1973-1989,electric power,biomass,0.182
1980-06-01,1980,1973-1989,industrial,biomass,131.148
1980-06-01,1980,1973-1989,commercial,biomass,1.721
1980-06-01,1980,1973-1989,residential,biomass,69.672
1980-07-01,1980,1973-1989,transportation,biomass,0
1980-07-01,1980,1973-1989,electric power,biomass,0.262
1980-07-01,1980,1973-1989,industrial,biomass,135.519
1980-07-01,1980,1973-1989,residential,biomass,71.995
1980-07-01,1980,1973-1989,commercial,biomass,1.779
1980-08-01,1980,1973-1989,residential,biomass,71.995
1980-08-01,1980,1973-1989,commercial,biomass,1.779
1980-08-01,1980,1973-1989,industrial,biomass,135.519
1980-08-01,1980,1973-1989,transportation,biomass,0
1980-08-01,1980,1973-1989,electric power,biomass,0.383
1980-09-01,1980,1973-1989,electric power,biomass,0.364
1980-09-01,1980,1973-1989,transportation,biomass,0
1980-09-01,1980,1973-1989,industrial,biomass,131.148
1980-09-01,1980,1973-1989,commercial,biomass,1.721
